ticker,has_trusted_earnings,row_count,latest_report_date,latest_fiscal_period,missing_fields,reason_not_ready,manual_import_available,updated_at
A,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
AACB,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
AACI,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
AACO,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
AAL,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
AAME,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
AAOI,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
AAON,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
AAPG,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
AAPL,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
AARD,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ABAT,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ABBV,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ABCL,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ABEO,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ABLV,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ABNB,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ABOS,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ABSI,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ABT,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ABTC,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ABTS,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ABUS,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ABVC,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ABVE,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ACAA,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ACAD,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
ACB,False,0,,,trusted_local_earnings_row,Not available: missing trusted local CSV input,True,2026-05-28T14:55:12.579086+00:00
