ticker,asset_type,has_free_cash_flow,has_shares_outstanding,has_revenue,has_fcf_margin,has_price,dcf_ready,missing_dcf_fields,reason_not_ready,sec_user_agent_configured,manual_fundamentals_import_available,updated_at
A,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
AACB,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
AACI,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
AACO,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
AAL,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
AAME,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
AAOI,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
AAON,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
AAPG,company,False,True,False,False,True,False,"free_cash_flow, revenue, fcf_margin","missing free_cash_flow, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
AAPL,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
AARD,company,True,True,False,False,True,False,"revenue, fcf_margin","missing revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ABAT,company,True,True,True,False,True,False,fcf_margin,missing fcf_margin,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ABBV,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ABCL,company,True,True,False,False,True,False,"revenue, fcf_margin","missing revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ABEO,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ABLV,company,True,False,True,True,True,False,shares_outstanding,missing shares_outstanding,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ABNB,company,True,False,False,False,True,False,"shares_outstanding, revenue, fcf_margin","missing shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ABOS,company,True,True,False,False,True,False,"revenue, fcf_margin","missing revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ABSI,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ABT,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ABTC,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ABTS,company,True,True,False,False,True,False,"revenue, fcf_margin","missing revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ABUS,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ABVC,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ABVE,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACAA,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACAD,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACB,company,False,True,False,False,True,False,"free_cash_flow, revenue, fcf_margin","missing free_cash_flow, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACCL,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACDC,company,True,True,False,False,True,False,"revenue, fcf_margin","missing revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACET,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACFN,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACGL,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACHC,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACHV,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACIC,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACIU,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACIW,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACLS,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACMR,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACN,company,True,True,True,True,True,True,,,True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACNB,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACNT,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACOG,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACON,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACRS,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACRV,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACT,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACTG,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACTU,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ACXP,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADAC,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADAG,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADAM,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADBE,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADEA,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADGM,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADI,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADIL,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADM,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADMA,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADP,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADPT,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADSE,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADSK,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
ADTN,company,False,False,False,False,True,False,"free_cash_flow, shares_outstanding, revenue, fcf_margin","missing free_cash_flow, shares_outstanding, revenue, fcf_margin",True,available: place CSV files in data/staged/fundamentals/ and run make import-fundamentals,2026-05-28T14:55:11.173147+00:00
