ticker,has_fundamentals,fundamentals_ready,missing_fundamentals_fields,source,updated_at
A,True,True,,sec_companyfacts,2026-05-28T14:55:09.157845+00:00
AACB,True,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",sec_companyfacts,2026-05-28T14:55:09.158426+00:00
AACI,True,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",sec_companyfacts,2026-05-28T14:55:09.158978+00:00
AACO,True,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",sec_companyfacts,2026-05-28T14:55:09.159524+00:00
AAL,True,True,,sec_companyfacts,2026-05-28T14:55:09.160042+00:00
AAME,True,True,,sec_companyfacts,2026-05-28T14:55:09.160560+00:00
AAOI,True,True,,sec_companyfacts,2026-05-28T14:55:09.161075+00:00
AAON,True,True,,sec_companyfacts,2026-05-28T14:55:09.161590+00:00
AAPG,True,False,"free_cash_flow, revenue, fcf_margin",sec_companyfacts,2026-05-28T14:55:09.162128+00:00
AAPL,True,True,,sec_companyfacts,2026-05-28T14:55:09.162643+00:00
AARD,True,False,"revenue, fcf_margin",sec_companyfacts,2026-05-28T14:55:09.163158+00:00
ABAT,True,False,fcf_margin,sec_companyfacts,2026-05-28T14:55:09.163665+00:00
ABBV,True,True,,sec_companyfacts,2026-05-28T14:55:09.164180+00:00
ABCL,True,False,"revenue, fcf_margin",sec_companyfacts,2026-05-28T14:55:09.164692+00:00
ABEO,True,True,,sec_companyfacts,2026-05-28T14:55:09.165202+00:00
ABLV,True,False,shares_outstanding,sec_companyfacts,2026-05-28T14:55:09.165720+00:00
ABNB,True,False,"revenue, fcf_margin, shares_outstanding",sec_companyfacts,2026-05-28T14:55:09.166226+00:00
ABOS,True,False,"revenue, fcf_margin",sec_companyfacts,2026-05-28T14:55:09.166732+00:00
ABSI,True,True,,sec_companyfacts,2026-05-28T14:55:09.167240+00:00
ABT,True,True,,sec_companyfacts,2026-05-28T14:55:09.167750+00:00
ABTC,True,True,,sec_companyfacts,2026-05-28T14:55:09.168262+00:00
ABTS,True,False,"revenue, fcf_margin",sec_companyfacts,2026-05-28T14:55:09.168768+00:00
ABUS,True,True,,sec_companyfacts,2026-05-28T14:55:09.169276+00:00
ABVC,True,True,,sec_companyfacts,2026-05-28T14:55:09.169782+00:00
ABVE,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.170142+00:00
ACAA,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.170482+00:00
ACAD,True,True,,sec_companyfacts,2026-05-28T14:55:09.170992+00:00
ACB,True,False,"free_cash_flow, revenue, fcf_margin",sec_companyfacts,2026-05-28T14:55:09.171525+00:00
ACCL,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.171872+00:00
ACDC,True,False,"revenue, fcf_margin",sec_companyfacts,2026-05-28T14:55:09.172375+00:00
ACET,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.172720+00:00
ACFN,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.173055+00:00
ACGL,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.173390+00:00
ACHC,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.173725+00:00
ACHV,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.174060+00:00
ACIC,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.174402+00:00
ACIU,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.174735+00:00
ACIW,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.175068+00:00
ACLS,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.175403+00:00
ACMR,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.175736+00:00
ACN,True,True,,sec_companyfacts,2026-05-28T14:55:09.176244+00:00
ACNB,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.176634+00:00
ACNT,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.176983+00:00
ACOG,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.177328+00:00
ACON,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.177666+00:00
ACRS,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.178002+00:00
ACRV,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.178334+00:00
ACT,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.178672+00:00
ACTG,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.179001+00:00
ACTU,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.179333+00:00
ACXP,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.179662+00:00
ADAC,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.179988+00:00
ADAG,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.180319+00:00
ADAM,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.180647+00:00
ADBE,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.180974+00:00
ADEA,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.181307+00:00
ADGM,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.181689+00:00
ADI,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.182027+00:00
ADIL,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.182356+00:00
ADM,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.182687+00:00
ADMA,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.183019+00:00
ADP,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.183347+00:00
ADPT,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.183675+00:00
ADSE,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.184001+00:00
ADSK,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.184329+00:00
ADTN,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.184661+00:00
ADTX,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.184989+00:00
ADUR,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.185314+00:00
ADUS,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-05-28T14:55:09.185638+00:00
