priority,ticker,peer_blocker_type,unlock_stage,workflow_group,workflow_scope,next_action_summary,peer_trend_status,peer_valuation_status,peer_count,ready_peer_count,peer_price_ready_count,peer_momentum_ready_count,peer_fundamentals_ready_count,peer_valuation_ready_count,sample_peers,missing_peer_reason,next_peer_action,next_input_file,validation_sequence,focus_command,example_command,copy_only_note,updated_at
1,MU,missing_peer_mapping,add_source_backed_peer_mappings,dcf_ready_peer_mapping,active_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for MU in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=MU,make peer-mapping-queue TOP_N=25,Copy commands only; review staged rows before applying local CSV changes.,2026-05-30T04:19:24.268565+00:00
1,TSLA,missing_peer_mapping,add_source_backed_peer_mappings,dcf_ready_peer_mapping,active_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for TSLA in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=TSLA,make peer-mapping-queue TOP_N=25,Copy commands only; review staged rows before applying local CSV changes.,2026-05-30T04:19:24.371524+00:00
1,A,missing_peer_mapping,add_source_backed_peer_mappings,dcf_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for A in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=A,make peer-mapping-queue TOP_N=25,Copy commands only; review staged rows before applying local CSV changes.,2026-05-30T04:19:23.929046+00:00
1,AAL,missing_peer_mapping,add_source_backed_peer_mappings,dcf_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for AAL in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=AAL,make peer-mapping-queue TOP_N=25,Copy commands only; review staged rows before applying local CSV changes.,2026-05-30T04:19:23.929960+00:00
1,AAME,missing_peer_mapping,add_source_backed_peer_mappings,dcf_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for AAME in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=AAME,make peer-mapping-queue TOP_N=25,Copy commands only; review staged rows before applying local CSV changes.,2026-05-30T04:19:23.930054+00:00
1,AAOI,missing_peer_mapping,add_source_backed_peer_mappings,dcf_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for AAOI in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=AAOI,make peer-mapping-queue TOP_N=25,Copy commands only; review staged rows before applying local CSV changes.,2026-05-30T04:19:23.930146+00:00
1,AAON,missing_peer_mapping,add_source_backed_peer_mappings,dcf_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for AAON in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=AAON,make peer-mapping-queue TOP_N=25,Copy commands only; review staged rows before applying local CSV changes.,2026-05-30T04:19:23.930239+00:00
1,AAPL,missing_peer_mapping,add_source_backed_peer_mappings,dcf_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for AAPL in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=AAPL,make peer-mapping-queue TOP_N=25,Copy commands only; review staged rows before applying local CSV changes.,2026-05-30T04:19:23.930456+00:00
1,ABBV,missing_peer_mapping,add_source_backed_peer_mappings,dcf_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for ABBV in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=ABBV,make peer-mapping-queue TOP_N=25,Copy commands only; review staged rows before applying local CSV changes.,2026-05-30T04:19:23.930769+00:00
1,ABEO,missing_peer_mapping,add_source_backed_peer_mappings,dcf_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for ABEO in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=ABEO,make peer-mapping-queue TOP_N=25,Copy commands only; review staged rows before applying local CSV changes.,2026-05-30T04:19:23.930955+00:00
