ticker,name,asset_type,exchange,price_rows,first_price_date,last_price_date,has_recent_price,price_ready,momentum_ready,risk_ready,missing_price_reason,next_action,updated_at
A,Agilent Technologies,company,,616,2023-12-11,2026-05-27,False,True,True,True,,,2026-05-28T04:08:52.985648+00:00
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,company,NASDAQ,285,2025-04-07,2026-05-26,False,True,True,True,,,2026-05-28T04:08:52.989057+00:00
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,company,NASDAQ,41,2026-03-27,2026-05-26,False,True,True,False,,,2026-05-28T04:08:52.991295+00:00
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,company,NASDAQ,30,2026-04-14,2026-05-26,False,True,True,False,,,2026-05-28T04:08:52.993363+00:00
AAL,"American Airlines Group, Inc. - Common Stock",company,NASDAQ,616,2023-12-11,2026-05-27,False,True,True,True,,,2026-05-28T04:08:52.995929+00:00
AAME,Atlantic American Corporation - Common Stock,company,NASDAQ,616,2023-12-11,2026-05-27,False,True,True,True,,,2026-05-28T04:08:52.999216+00:00
AAOI,"Applied Optoelectronics, Inc. - Common Stock",company,NASDAQ,616,2023-12-11,2026-05-27,False,True,True,True,,,2026-05-28T04:08:53.002588+00:00
AAON,"AAON, Inc. - Common Stock",company,NASDAQ,616,2023-12-11,2026-05-27,False,True,True,True,,,2026-05-28T04:08:53.005216+00:00
AAPG,Ascentage Pharma Group International - American Depository Shares,company,NASDAQ,336,2025-01-24,2026-05-27,False,True,True,True,,,2026-05-28T04:08:53.007119+00:00
AAPL,Apple Inc.,company,NASDAQ,618,2023-12-07,2026-05-27,False,True,True,True,,,2026-05-28T04:08:53.009823+00:00
AARD,"Aardvark Therapeutics, Inc. - Common Stock",company,NASDAQ,322,2025-02-13,2026-05-27,False,True,True,True,,,2026-05-28T04:08:53.011962+00:00
ABAT,American Battery Technology Company - Common Stock,company,NASDAQ,616,2023-12-11,2026-05-27,False,True,True,True,,,2026-05-28T04:08:53.014044+00:00
ABBV,AbbVie,company,,616,2023-12-11,2026-05-27,False,True,True,True,,,2026-05-28T04:08:53.016038+00:00
ABCL,AbCellera Biologics Inc. - Common Shares,company,NASDAQ,616,2023-12-11,2026-05-27,False,True,True,True,,,2026-05-28T04:08:53.018947+00:00
ABEO,Abeona Therapeutics Inc. - Common Stock,company,NASDAQ,616,2023-12-11,2026-05-27,False,True,True,True,,,2026-05-28T04:08:53.021646+00:00
ABLV,Able View Global Inc. - Class B Ordinary Shares,company,NASDAQ,616,2023-12-11,2026-05-27,False,True,True,True,,,2026-05-28T04:08:53.023704+00:00
