ticker,name,exchange,asset_type,sector,industry,theme,in_master_universe,in_active_universe,price_ready,momentum_ready,market_direction_ready,liquidity_ready,correlation_ready,fundamentals_ready,dcf_ready,peer_ready,earnings_ready,analyst_estimates_ready,portfolio_ready,overall_readiness_state,ready_features,partial_features,blocked_features,excluded_features,missing_data,next_action,updated_at
A,Agilent Technologies,,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",,"peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for A.,2026-05-28T04:09:02.145655+00:00
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,company,,,,True,False,True,True,True,True,True,False,False,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation",fundamentals,"dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for AACB. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",2026-05-28T04:09:02.149876+00:00
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,company,,,,True,False,True,True,True,False,False,False,False,False,False,False,False,partial,"price, momentum, market_direction","liquidity, correlation, fundamentals","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for AACI. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",2026-05-28T04:09:02.153069+00:00
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,company,,,,True,False,True,True,True,False,False,False,False,False,False,False,False,partial,"price, momentum, market_direction","liquidity, correlation, fundamentals","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for AACO. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",2026-05-28T04:09:02.155819+00:00
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",,"peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for AAL.,2026-05-28T04:09:02.159998+00:00
AAME,Atlantic American Corporation - Common Stock,NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",,"peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for AAME.,2026-05-28T04:09:02.162869+00:00
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",,"peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for AAOI.,2026-05-28T04:09:02.165749+00:00
AAON,"AAON, Inc. - Common Stock",NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",,"peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for AAON.,2026-05-28T04:09:02.168539+00:00
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,company,,,,True,False,True,True,True,True,True,False,False,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation",fundamentals,"dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for AAPG. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",2026-05-28T04:09:02.172104+00:00
AAPL,Apple Inc.,NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",,"peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for AAPL.,2026-05-28T04:09:02.174968+00:00
