ticker,name,exchange,asset_type,sector,industry,in_active_universe,metadata_ready,missing_metadata,source,updated_at
A,Agilent Technologies,,company,,,False,True,,sp500,2026-05-28T14:55:05.510692+00:00
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.510748+00:00
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.510777+00:00
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.510803+00:00
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.510835+00:00
AAME,Atlantic American Corporation - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.510864+00:00
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.510888+00:00
AAON,"AAON, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.510912+00:00
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.510934+00:00
AAPL,Apple Inc.,NASDAQ,company,,,False,True,,"sp500, nasdaq",2026-05-28T14:55:05.510957+00:00
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.510981+00:00
ABAT,American Battery Technology Company - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511005+00:00
ABBV,AbbVie,,company,,,False,True,,sp500,2026-05-28T14:55:05.511030+00:00
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511054+00:00
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511078+00:00
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511133+00:00
ABNB,Airbnb,NASDAQ,company,,,False,True,,"sp500, nasdaq",2026-05-28T14:55:05.511208+00:00
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511237+00:00
ABSI,Absci Corporation - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511263+00:00
ABT,Abbott Laboratories,,company,,,False,True,,sp500,2026-05-28T14:55:05.511287+00:00
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511311+00:00
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511334+00:00
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511357+00:00
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511379+00:00
ABVE,Above Food Ingredients Inc. - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511401+00:00
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511426+00:00
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511449+00:00
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511472+00:00
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511494+00:00
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511521+00:00
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511543+00:00
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511564+00:00
ACGL,Arch Capital Group,NASDAQ,company,,,False,True,,"sp500, nasdaq",2026-05-28T14:55:05.511586+00:00
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511609+00:00
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511631+00:00
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511653+00:00
ACIU,AC Immune SA - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511676+00:00
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511700+00:00
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511722+00:00
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511744+00:00
ACN,Accenture,,company,,,False,True,,sp500,2026-05-28T14:55:05.511767+00:00
ACNB,ACNB Corporation - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511790+00:00
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511812+00:00
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511834+00:00
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511856+00:00
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511878+00:00
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511901+00:00
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511923+00:00
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511946+00:00
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511970+00:00
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.511992+00:00
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512014+00:00
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512036+00:00
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512059+00:00
ADBE,Adobe Inc.,NASDAQ,company,,,False,True,,"sp500, nasdaq",2026-05-28T14:55:05.512080+00:00
ADEA,Adeia Inc.  - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512104+00:00
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512126+00:00
ADI,Analog Devices,NASDAQ,company,,,False,True,,"sp500, nasdaq",2026-05-28T14:55:05.512156+00:00
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512179+00:00
ADM,Archer Daniels Midland,,company,,,False,True,,sp500,2026-05-28T14:55:05.512203+00:00
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512229+00:00
ADP,Automatic Data Processing,NASDAQ,company,,,False,True,,"sp500, nasdaq",2026-05-28T14:55:05.512253+00:00
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512275+00:00
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512297+00:00
ADSK,Autodesk,NASDAQ,company,,,False,True,,"sp500, nasdaq",2026-05-28T14:55:05.512319+00:00
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512341+00:00
ADTX,"Aditxt, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512364+00:00
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512386+00:00
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512409+00:00
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512431+00:00
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512454+00:00
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512477+00:00
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512499+00:00
AEC,Anfield Energy Inc. - Common Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512522+00:00
AEE,Ameren,,company,,,False,True,,sp500,2026-05-28T14:55:05.512545+00:00
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512567+00:00
AEHR,Aehr Test Systems - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512589+00:00
AEI,Alset Inc. - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512612+00:00
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512635+00:00
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512657+00:00
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512679+00:00
AEP,American Electric Power,NASDAQ,company,,,False,True,,"sp500, nasdaq",2026-05-28T14:55:05.512701+00:00
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512724+00:00
AES,AES Corporation,,company,,,False,True,,sp500,2026-05-28T14:55:05.512746+00:00
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512768+00:00
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512790+00:00
AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512812+00:00
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512834+00:00
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512857+00:00
AFL,Aflac,,company,,,False,True,,sp500,2026-05-28T14:55:05.512879+00:00
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512901+00:00
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512923+00:00
AFYA,Afya Limited - Class A Common Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512946+00:00
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512968+00:00
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.512990+00:00
AGEN,Agenus Inc. - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.513011+00:00
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.513033+00:00
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.513054+00:00
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.513076+00:00
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.513097+00:00
AGNT,"eXp World Holdings, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.513119+00:00
AGPU,Axe Compute Inc. - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.513141+00:00
AGRZ,Agroz Inc. - Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.513162+00:00
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.513184+00:00
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.513205+00:00
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.513227+00:00
AIAI,AIAI Holdings Corporation - Class A common stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T14:55:05.513248+00:00
