Ticker,LiquidityStatus,LiquidityScore,LiquidityInputsUsed,LiquidityBlindSpots,AvgVolume20D,AvgDollarVolume20D,LatestClose,LatestVolume,VolumeTrend5DVs20D,VolatilityProxy20D,MissingDataFields,Reason
A,Liquid,80,local close and volume,"bid-ask spread, order book depth, float turnover, market-impact estimate",2174241.35,248338821.86868247,115.30500030517578,990227.0,0.039528293397602665,0.020878225684069388,,"A liquidity status is Liquid using local close and volume rows only. Average 20-day dollar volume is 248,338,822 when calculable."
AACB,Thin / Needs Review,27,local close and volume,"bid-ask spread, order book depth, float turnover, market-impact estimate",26025.0,270150.6529664993,10.4399995803833,0.0,-0.9861671469740634,0.001134304326867423,,"AACB liquidity status is Thin / Needs Review using local close and volume rows only. Average 20-day dollar volume is 270,151 when calculable."
AACI,Thin / Needs Review,35,local close and volume,"bid-ask spread, order book depth, float turnover, market-impact estimate",2855.0,28356.59945011139,9.949999809265137,0.0,0.20490367775831864,0.0011607346504201022,,"AACI liquidity status is Thin / Needs Review using local close and volume rows only. Average 20-day dollar volume is 28,357 when calculable."
AACO,Thin / Needs Review,27,local close and volume,"bid-ask spread, order book depth, float turnover, market-impact estimate",145.0,1435.7499647140503,9.9399995803833,0.0,-1.0,0.002037743628971744,,"AACO liquidity status is Thin / Needs Review using local close and volume rows only. Average 20-day dollar volume is 1,436 when calculable."
AAL,Liquid,88,local close and volume,"bid-ask spread, order book depth, float turnover, market-impact estimate",60754901.9,789888054.8742748,15.024999618530272,33391738.0,0.43754503535787936,0.03200136767027663,,"AAL liquidity status is Liquid using local close and volume rows only. Average 20-day dollar volume is 789,888,055 when calculable."
AAME,Thin / Needs Review,30,local close and volume,"bid-ask spread, order book depth, float turnover, market-impact estimate",6328.45,15043.867533516885,2.1500000953674316,7269.0,-0.3467910783841225,0.023775822620263325,,"AAME liquidity status is Thin / Needs Review using local close and volume rows only. Average 20-day dollar volume is 15,044 when calculable."
AAOI,Liquid,70,local close and volume,"bid-ask spread, order book depth, float turnover, market-impact estimate",11879936.25,2122952889.5472908,188.0500030517578,7912525.0,-0.1726735907358089,0.09219691537630462,,"AAOI liquidity status is Liquid using local close and volume rows only. Average 20-day dollar volume is 2,122,952,890 when calculable."
AAON,Liquid,62,local close and volume,"bid-ask spread, order book depth, float turnover, market-impact estimate",1440885.1,181844319.61772004,140.52000427246094,579502.0,-0.360101371025351,0.07481346048540949,,"AAON liquidity status is Liquid using local close and volume rows only. Average 20-day dollar volume is 181,844,320 when calculable."
AAPG,Thin / Needs Review,30,local close and volume,"bid-ask spread, order book depth, float turnover, market-impact estimate",6619.85,134776.44504003524,20.899999618530273,9997.0,0.2325656925761157,0.031243832170730953,,"AAPG liquidity status is Thin / Needs Review using local close and volume rows only. Average 20-day dollar volume is 134,776 when calculable."
AAPL,Liquid,85,local close and volume,"bid-ask spread, order book depth, float turnover, market-impact estimate",48364661.25,14111370070.775223,310.79998779296875,32832425.0,-0.14956739203874814,0.010723884465838203,,"AAPL liquidity status is Liquid using local close and volume rows only. Average 20-day dollar volume is 14,111,370,071 when calculable."
AARD,Thin / Needs Review,20,local close and volume,"bid-ask spread, order book depth, float turnover, market-impact estimate",175011.25,881005.7552063465,3.9600000381469727,131125.0,-0.058431957945560664,0.08540614089586722,,"AARD liquidity status is Thin / Needs Review using local close and volume rows only. Average 20-day dollar volume is 881,006 when calculable."
ABAT,Moderate Liquidity,55,local close and volume,"bid-ask spread, order book depth, float turnover, market-impact estimate",5456290.0,17812217.774086,3.6050000190734863,6397800.0,0.11342322347235934,0.05910447270439431,,"ABAT liquidity status is Moderate Liquidity using local close and volume rows only. Average 20-day dollar volume is 17,812,218 when calculable."
ABBV,Liquid,85,local close and volume,"bid-ask spread, order book depth, float turnover, market-impact estimate",5826730.35,1215194643.18721,214.8699951171875,2091807.0,-0.2741243980854544,0.01488382316414547,,"ABBV liquidity status is Liquid using local close and volume rows only. Average 20-day dollar volume is 1,215,194,643 when calculable."
